country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Argentina,1992,South/Latin America,101.0933022,2.151134992,0.222374137,52.26141856,46.99533158,35.17650623,11.77939858,20.862,24.704,19.73899625,21.88102287,0.103375259,56.117,45.16,0.873525625,0,30.369,0.2
Argentina,1993,South/Latin America,105.3457076,2.176160113,0.214152656,56.29770921,48.40898745,39.19844861,11.98146035,20.5,25.317,21.8699736,23.47801526,0.098408501,61.88,48.568,1.046,0,31.978,0.166
Argentina,1994,South/Latin America,107.9728126,2.061220542,0.207389513,61.81820772,52.38295,42.30581711,12.15728863,21.129,23.415,22.67997268,24.39803105,0.100614907,65.634,52.376,1.530031154,0,36.283,0.344
Argentina,1995,South/Latin America,108.8263334,2.081683914,0.215150399,65.75437415,52.27802966,40.35962549,12.74594607,20.375,22.763,24.32501483,25.70099601,0.103354019,67.181,56.006,1.363125517,0,39.04,0.302
Argentina,1996,South/Latin America,118.8983213,2.202303915,0.222751977,70.83352589,53.98815327,33.27839248,12.62102216,22.044,24.834,26.43600864,28.50500454,0.101144976,69.772,58.976,1.26273773,0.014332397,42.583,0.307
Argentina,1997,South/Latin America,121.4134612,2.178231072,0.210398486,74.87091512,55.7394772,39.28665057,13.0736798,22.739,26.831,27.91398126,29.39198558,0.096591445,72.475,63.406,1.132754638,0.020696792,44.936,0.249
Argentina,1998,South/Latin America,127.051088,2.139782305,0.212005394,79.18849719,59.37570741,36.28459351,13.61117808,23.857,27.969,32.19701016,32.01596586,0.09907802,74.183,68.647,0.992509276,0.044484585,45.805,0.287
Argentina,1999,South/Latin America,128.4796037,2.110900799,0.221901484,80.70807817,60.86482309,27.20811303,14.58942646,22.053,27.499,36.74196944,35.03200627,0.105121702,80.759,71.313,1.002540888,0.043338823,43.966,0.333
Argentina,2000,South/Latin America,126.6782331,2.092634231,0.220530257,82.66996933,60.53529623,32.88086837,15.40261857,20.489,26.574,40.99695985,36.58697288,0.105384044,88.994,75.153,0.825574704,0.039328494,41.966,0.257
Argentina,2001,South/Latin America,120.4482263,2.138020617,0.219355669,83.49472379,56.3363259,41.55223285,16.32725443,18.845,27.198,40.88295862,35.77397123,0.102597546,90.154,76.259,0.575327697,0.054351443,42.104,0.186
Argentina,2002,South/Latin America,113.9342273,2.044134961,0.232861709,82.08133324,55.7371355,43.14047633,16.65589118,17.208,25.024,40.26904885,34.93096622,0.113916993,84.605,74.889,0.551,0.086283317,41.785,0.097
Argentina,2003,South/Latin America,124.3021803,2.060408587,0.233424206,86.24497963,60.32889838,37.811156,16.41400093,18.569,26.814,44.93701341,38.67395385,0.113290251,92.076,79.873,0.679,0.084712629,41.458,0.09
Argentina,2004,South/Latin America,138.617375,2.069304732,0.238748417,86.78553662,66.98741509,31.33357931,16.22918267,21.002,27.402,47.91395133,41.70004725,0.115376152,100.279,84.542,1.297,0.071799679,39.823,0.048
Argentina,2005,South/Latin America,141.5585635,2.129165296,0.223987572,84.41122686,66.48547381,33.29047263,16.75168582,20.522,27.199,47.69099817,43.70096957,0.10519971,105.769,89.391,1.436,0.068072876,37.491,0.024
Argentina,2006,South/Latin America,149.9503663,2.144222335,0.219594766,84.93264736,69.93228445,34.41609957,17.08122885,22.595,28.735,48.05302917,44.75298625,0.102412311,113.444,95.489,1.336,0.061704453,37.428,0.084
Argentina,2007,South/Latin America,158.7693087,2.163097273,0.213296646,81.33443055,73.39906099,28.71460654,16.83987574,25.058,30.034,45.36301474,45.22502073,0.098607052,113.545,99.944,1.731,0.054603902,36.639,0.105
Argentina,2008,South/Latin America,164.2559483,2.165847925,0.212063685,82.41333019,75.83909583,26.72090677,17.3231088,26.789,29.713,45.46599289,45.98003846,0.097912546,121.927,105.158,2.165,0.034446841,37.076,0.091
Argentina,2009,South/Latin America,152.5661962,2.189205331,0.209362743,79.20083658,69.69021774,29.60244548,18.61238217,23.806,27.609,42.64398659,44.45199078,0.095634128,122.348,105.349,1.213,0.030241606,35.336,0.076
Argentina,2010,South/Latin America,162.8333985,2.17639863,0.202907022,78.13215913,74.81781887,27.84906559,18.03448578,27.34,27.96,41.34097836,44.59197482,0.093230633,126.015,110.594,1.68,0.019838908,35.047,0.059
Argentina,2011,South/Latin America,170.7624513,2.207371595,0.200735375,74.42451376,77.36008369,25.58259849,18.32218907,27.868,27.373,39.79501809,46.4449791,0.090938642,129.506,115.916,1.836,0.047102065,32.401,0.085
Argentina,2012,South/Latin America,172.8337001,2.172699913,0.205277185,75.11887238,79.54789294,23.46278793,18.75096526,27.72,27.972,40.79404084,48.92605507,0.094480229,136.058,118.374,1.721,0.610033956,32.39,0.091
Argentina,2013,South/Latin America,177.6705638,2.179136099,0.20606546,72.55729754,81.53256875,25.57881076,18.25532876,28.263,27.729,38.84196469,49.40100675,0.094562914,139.467,120.944,1.862,0.732789836,31.367,0.079
Argentina,2014,South/Latin America,174.103597,2.130796624,0.207132881,72.20878778,81.70821892,25.08659508,19.2170175,27.624,27.333,37.88998012,49.52602436,0.097209128,138.576,126.266,1.989,0.458232306,31.537,0.057
Argentina,2015,South/Latin America,180.2323225,2.172997398,0.208723712,73.43704975,82.9418032,23.81761054,19.77940766,28.275,28.48,39.92603341,50.74296941,0.096053365,145.447,132.09,1.975,0.418021685,31.316,0.034
Argentina,2016,South/Latin America,179.0771409,2.171660643,0.211791883,74.09724981,82.46092293,21.74704524,19.9458838,27.897,27.325,40.99701059,51.20301717,0.097525313,147.22,131.951,1.524,0.381741611,30.129,0.023
Argentina,2017,South/Latin America,174.8098539,2.119894127,0.201371252,73.152941,82.46159641,23.47851739,19.60802057,26.619912,26.820592,41.65147936,51.85244307,0.094991184,145.644665,129.022333,1.558971,0.431253009,28.532652,0.019643
Argentina,2018,South/Latin America,171.4118734,2.139722616,0.202482154,74.9256672,80.10938997,24.14725257,19.47388353,25.499696,25.38984,42.71063217,52.00258791,0.094630095,146.800295,128.772703,1.703854,1.036200915,29.461335,0.06
Argentina,2019,South/Latin America,192.2150084,2.434490921,0.231898118,77.86153508,78.95490869,24.01506128,19.1375196,24.66572824,25.63438875,44.80823834,51.72438311,0.095255281,139.555038,125.6475128,1.009694137,2.831559394,30.779096,0.105
Argentina,2020,South/Latin America,166.8502225,2.317391781,0.224912547,72.44919203,71.9991431,22.79109806,21.2295541,21.24310797,22.02692164,40.8314699,48.68177234,0.097054175,142.7619256,124.0498386,0.898338972,5.171289305,29.144184,0.093419966
Australia,1990,Asia & Pacific,261.3850187,3.034217998,0.507651398,157.5258396,86.14576106,10.08263503,19.27076083,31.086,32.782,20.4750129,17.68399409,0.167308808,155.019,134.339,94.1,0,27.493,204.562
Australia,1991,Asia & Pacific,262.7206999,3.086065945,0.512280444,167.0153519,85.1312657,10.758969,19.80869329,30.516,33.475,21.31100609,16.55100127,0.165997893,156.818,136.949,97.972,0,27.513,219.607
Australia,1992,Asia & Pacific,266.7094848,3.076338701,0.517921619,172.1455634,86.69704825,10.3030493,19.80792505,30.352,32.862,22.78900607,17.09499225,0.168356501,159.545,138.566,100.72,0,26.927,228.339
Australia,1993,Asia & Pacific,270.7051235,2.969222593,0.505319345,174.9337666,91.17037035,10.77543538,19.69135288,31.08,34.415,24.46000317,17.84399248,0.17018574,163.65,142.69,98.927,0.006721662,26.654,226.065
Australia,1994,Asia & Pacific,275.2476057,3.015304544,0.494119426,173.4679059,91.28351768,10.35213749,19.74302997,31.884,35.08,26.40403128,18.72598574,0.163870488,167.463,146.499,99.435,0.010151496,25.067,225.402
Australia,1995,Asia & Pacific,285.4007164,3.083929041,0.493418286,186.906487,92.54451467,9.808903955,19.66450567,33.028,35.983,29.26000941,20.0959782,0.159996641,173.159,151.119,101.706,0.01328259,26.87,241.807
Australia,1996,Asia & Pacific,295.3561481,2.983712116,0.491563958,189.7636183,98.9894925,9.394813005,19.62757804,34.23,37.239,30.14799528,20.36501065,0.164749124,177.598,155.147,109.236,0.014639805,26.366,247.149
Australia,1997,Asia & Pacific,304.2503225,3.002280915,0.487047877,201.0230459,101.3397251,9.75571092,19.80631496,34.353,36.936,29.90796743,20.33099844,0.162225951,182.939,160.346,114.978,0.016398909,26.686,264.458
Australia,1998,Asia & Pacific,324.0946638,3.117121906,0.496109542,216.4839884,103.9724058,8.598088745,20.72839918,34.784,37.829,31.05403768,21.15601579,0.159156285,195.369,170.054,125.08,0.01842667,29.432,287.351
Australia,1999,Asia & Pacific,329.7106697,3.103739618,0.480336014,213.5411305,106.2301321,8.70545672,21.05422569,35.233,37.036,31.61302916,21.49498417,0.154760409,203.987,175.457,127.636,0.030394094,23.657,291.002
Australia,2000,Asia & Pacific,335.8544102,3.10535353,0.470770602,233.5537483,108.1533574,8.538511302,21.05335051,36.314,38.298,32.81900878,22.56700266,0.15159968,210.224,179.852,127.871,0.045665576,32.076,306.722
Australia,2001,Asia & Pacific,342.1131775,3.233556666,0.47045956,249.178666,105.8008913,8.249827498,21.82788914,36.076,37.157,33.56102238,23.81699669,0.145492907,224.635,188.035,128.067,0.113072317,33.138,329.177
Australia,2002,Asia & Pacific,354.10295,3.23496451,0.468212442,254.0723633,109.4611545,7.932587726,23.29377113,35.554,37.099,34.96999579,26.15797281,0.144734955,227.555,197.742,130.014,0.181934038,31.321,339.898
Australia,2003,Asia & Pacific,353.9045952,3.195670866,0.454382574,252.4208674,110.7450079,8.530266936,22.01474962,37.931,37.014,34.10498977,25.00400446,0.142186913,220.802,193.791,130.2538168,0.34510557,30.546,341.661
Australia,2004,Asia & Pacific,367.3212596,3.260351099,0.453227522,254.1965198,112.6630993,8.27547563,22.01027728,39.183,36.504,34.27999713,25.7570116,0.139011876,228.434,198.266,135.6244765,0.338828721,27.079,350.304
Australia,2005,Asia & Pacific,372.7144164,3.284255307,0.445604119,265.1662402,113.485214,8.924557183,22.06223761,39.432,34.768,35.84003106,25.49301982,0.135678891,228.65,198.66,137.5569317,0.421605073,24.355,370.59
Australia,2006,Asia & Pacific,376.4335586,3.191718983,0.437815475,269.8482491,117.9406961,9.339432204,22.45184594,39.784,32.429,42.70105218,25.69897295,0.137172313,232.83,202.515,140.2234935,0.77524374,22.013,374.653
Australia,2007,Asia & Pacific,387.0571393,3.194274271,0.433506041,286.1332025,121.1721682,8.714945488,22.81979052,40.291,33.059,45.30097735,29.29397271,0.135713469,243.157,212.145,141.0483671,1.119030092,24.584,391.039
Australia,2008,Asia & Pacific,390.3353791,3.104012145,0.421750425,286.7945774,125.7518852,8.17116943,22.55873601,41.448,33.205,47.20005903,30.2849978,0.135872672,243.221,213.009,140.2071657,1.32430999,22.636,392.251
Australia,2009,Asia & Pacific,393.2345964,3.122592833,0.4168097,295.3019824,125.9320755,7.522908423,23.59932542,40.564,33.236,49.46901304,31.16999397,0.133481924,248.162,217.361,144.4894138,1.605805885,23.26,407.898
Australia,2010,Asia & Pacific,391.1876751,3.098726915,0.406241165,323.3520117,126.2414165,8.615496654,23.51094838,42.229,32.984,52.65097213,31.96197393,0.131099376,252.661,220.848,133.1583589,2.153874163,24.236,435.876
Australia,2011,Asia & Pacific,389.3908041,3.066718951,0.394655624,312.7862855,126.9730974,10.39555591,23.01580791,44.949,34.467,56.39806616,32.38301841,0.128689857,253.82,224.154,128.288,2.945788354,23.242,414.803
Australia,2012,Asia & Pacific,388.0039573,3.089401631,0.378422808,320.9505941,125.5919442,10.52958781,22.55320513,46.122,32.887,54.01700768,33.86396016,0.122490648,250.931,222.051,126.977,3.704604055,21.801,434.7
Australia,2013,Asia & Pacific,385.0416842,3.020200041,0.366071201,346.4443471,127.4888017,13.17640454,22.08553675,47.558,32.894,62.97496647,36.00199097,0.121207601,249.37,221.831,116.078,4.585956611,19.14,458.43
Australia,2014,Asia & Pacific,375.331217,2.958720343,0.348023322,368.1846113,126.8559287,14.6271383,21.8664777,47.171,30.865,64.76798304,36.73004366,0.117626299,247.451,221.331,111.004,5.763969432,18.307,488.794
Australia,2015,Asia & Pacific,380.822048,3.006401071,0.345538248,383.0184101,126.6704073,13.34208381,22.33875534,46.406,27.497,68.05597188,37.13402111,0.114934182,251.415,225.318,115.97,6.559274506,17.241,512.431
Australia,2016,Asia & Pacific,390.7092137,3.0880179,0.344951918,387.1614962,126.524271,14.59602515,22.19368338,46.644,23.517,81.38499458,38.13496735,0.11170658,256.563,226.384,118.357,7.174845944,16.8,500.343
Australia,2017,Asia & Pacific,393.51012,3.083428133,0.33938936,405.6019214,127.62098,15.67893527,21.98724039,47.361239,22.670871,103.6130994,39.17405104,0.110068841,258.019,229.874,113.993,8.010507753,14.529712,499.467
Australia,2018,Asia & Pacific,392.1192401,3.062758757,0.328529897,411.5424217,128.0281182,17.10051418,21.91466055,48.433927,22.962196,117.9458881,40.47196868,0.107266005,260.998,233.553,105.21,9.61424992,13.07153,485.09
Australia,2019,Asia & Pacific,387.3162983,3.010423943,0.318639684,448.7037071,128.6583902,19.70336856,21.9632096,48.40408156,23.32946941,142.3954519,41.38212522,0.105845452,263.9679798,236.0824241,102.6313922,12.32986615,15.4634678,503.184
Australia,2020,Asia & Pacific,371.7701422,2.948092919,0.313692389,443.4350522,126.1053001,22.97536903,22.01596851,46.51425401,20.99745146,153.6443991,40.05911276,0.106405191,256.5199222,229.3901339,98.81439898,15.25098098,18.23875823,473.2607938
Belgium,1990,Europe,106.4454169,2.222765825,0.32184878,13.10412024,47.88872299,1.672236087,14.70290453,17.597,29.37,0.012,9.60829766,0.14479653,70.923,59.108,16.62014648,0.009869859,0,0
Belgium,1991,Europe,111.1304056,2.220451624,0.329965811,12.972907,50.04855968,1.787700178,14.55764168,19.188,32.494,0.008999991,10.24304453,0.148603017,71.936,61.783,16.02302849,0.011120996,0,0
Belgium,1992,Europe,109.8310433,2.168333133,0.321191443,12.72497894,50.65229212,1.982692973,14.96165304,19.641,32.223,0.006000005,10.55942188,0.148128273,72.225,63.871,14.23568967,0.012461059,0,0
Belgium,1993,Europe,108.2185758,2.190398409,0.319549582,12.10260263,49.40588678,1.797159556,15.35158746,19.167,31.216,0.004,11.03637165,0.145886511,70.834,64.644,13.51357655,0.011294011,0,2.357
Belgium,1994,Europe,113.5517455,2.164308749,0.324815741,11.62765093,52.46559464,1.99226922,14.80946188,21.558,31.735,0.001,11.23836661,0.150078283,72.179,67.822,14.47283569,0.012469001,0,2.107
Belgium,1995,Europe,113.9606054,2.136414825,0.318392403,11.93369733,53.341984,2.096548758,14.9083141,21.455,28.941,0.000263158,12.75518541,0.149031171,74.408,69.829,13.79664914,0.012095474,0,1.197
Belgium,1996,Europe,119.4241091,2.127123996,0.329305087,12.35522872,56.14346381,2.000026282,14.42679143,22.874,35.164,0.002,14.23732892,0.154812361,76.099,71.405,13.12545102,0.010512622,0,0.971
Belgium,1997,Europe,115.9620097,2.058188664,0.308071413,13.40138618,56.34177845,1.978866718,14.98568214,22.89,36.553,0.000157895,13.47588502,0.149680842,78.833,73.321,12.19057747,0.010148034,0,0.753
Belgium,1998,Europe,118.5562855,2.067419951,0.308903325,13.10683929,57.34504275,2.244448986,15.1855638,22.923,37.895,0,14.80757,0.14941489,83.183,75.527,12.144,0.013223856,0,0.637
Belgium,1999,Europe,114.2759202,1.9914095,0.287563061,13.90502297,57.38444063,2.364105355,15.20420529,22.564,35.691,0.000447368,15.66644691,0.144401772,84.514,76.05,10.545,0.015382067,0,0.56
Belgium,2000,Europe,116.3659107,2.004653567,0.282329038,13.73288732,58.04789046,2.717468933,15.41701986,22.574,38.174,0.002,15.84220073,0.140836822,84.012,79.166,11.614,0.019044898,0,0.427
Belgium,2001,Europe,116.1275516,2.013658186,0.278686248,13.32335667,57.66994236,2.853885569,15.2545838,23.153,39.993,0,15.84267826,0.138397991,79.821,79.816,10.974,0.046353716,0,0.312
Belgium,2002,Europe,110.6566539,1.984010108,0.261100337,13.49615746,55.77423899,2.763528251,16.06111123,21.956,46.145,0,16.22550241,0.131602322,82.069,80.438,9.529,0.069453752,0,0.364
Belgium,2003,Europe,114.3261809,1.964157327,0.266987578,13.69625349,58.20622379,2.671629446,15.887436,22.89,45.597,0,17.15293899,0.135929833,84.63,82.065,9.204,0.103982039,0,0.375
Belgium,2004,Europe,114.0036491,1.952183269,0.257054454,13.74716124,58.39802591,3.254206415,15.82522274,23.203,43.481,0,17.60198644,0.13167537,85.643,83.76,8.526719617,0.166972199,0,0.218
Belgium,2005,Europe,111.2141613,1.914864165,0.245074749,13.90603692,58.07939975,3.93220339,16.04513541,23.142,37.251,0,17.09331574,0.127985448,87.025,83.636,7.885,0.26199368,0,0.173
Belgium,2006,Europe,109.9231149,1.915932787,0.236201074,13.76958084,57.3731582,4.930095659,16.70255242,21.998,36.751,0,17.63253586,0.123282547,85.617,86.055,7.693968846,0.42982118,0,0.129
Belgium,2007,Europe,106.0513293,1.885158043,0.219799591,14.39315624,56.2559355,5.381549616,17.23768459,21.085,38.575,0,17.80619995,0.116594782,88.822,86.084,7.023,0.559546058,0,0.181
Belgium,2008,Europe,109.4185863,1.887360456,0.22576949,13.96289535,57.97439802,6.787943012,16.25735114,22.767,37.986,0,18.47112705,0.119621819,84.93,85.822,6.901,0.801836807,0,0.109
Belgium,2009,Europe,105.2578343,1.89276858,0.221663591,14.7775373,55.61051437,7.527812791,16.6019542,21.022,34.624,0,21.31016449,0.117110773,91.235,79.662,4.505,1.275826163,0,0.029
Belgium,2010,Europe,114.2312941,1.909489829,0.233862409,15.57240587,59.82293929,8.2467512,16.58904456,21.538,35.094,0,23.25280081,0.122473765,95.189,85.918,5.710894757,1.945602958,0,0.016
Belgium,2011,Europe,105.6152739,1.886810369,0.212620237,16.12204517,55.97556363,10.64261256,17.2000966,20.132,32.776,0,21.42711294,0.112687655,90.241,83.894,5.372574506,3.857448388,0,0.014
Belgium,2012,Europe,99.15995112,1.853570595,0.198159795,14.18560109,53.49672214,14.18183134,17.2949427,20.147,34.828,0,18.73552379,0.106907067,82.923,84.416,5.10349367,5.907890453,0,0.02
Belgium,2013,Europe,100.21459,1.796622656,0.199351891,15.0578262,55.7794313,15.56990226,16.70404676,20.802,32.145,0,18.69104126,0.110959243,83.488,84.46,5.445394803,7.569950172,0,0.116
Belgium,2014,Europe,93.48032128,1.776543083,0.183066006,12.71212965,52.6192256,18.49792143,17.05951167,20.75,35.25,0,16.50320694,0.103046196,72.646,82.691,5.202691091,10.33642596,0,0.126
Belgium,2015,Europe,99.540696,1.896659615,0.191050608,10.74605467,52.48210866,22.36018618,16.74213379,21.139,35.203,0,18.51517797,0.100730045,69.825,83.162,5.062394716,12.37522377,0,0.106
Belgium,2016,Europe,96.33170828,1.732555601,0.182139212,15.40469369,55.60093324,18.02990223,16.69504295,20.798,33.631,0,17.68119574,0.105127485,85.813,83.681,4.706761481,9.95653339,0,0.107
Belgium,2017,Europe,95.82353645,1.732960522,0.177688247,15.13488872,55.29470246,19.58559732,16.92190369,20.148052,35.2832,0,18.12290315,0.102534503,86.7755,83.8655,4.566684756,11.33015655,0,0.0903
Belgium,2018,Europe,97.75548553,1.835990945,0.178665053,11.7556753,53.24399108,24.19095381,16.84079798,20.279082,34.0696,0,19.22324683,0.0973126,75.0946,84.3841,4.561951183,15.14875903,0.0335,0.1167
Belgium,2019,Europe,98.66724914,1.783898436,0.17783466,15.88163022,55.30990283,21.13508346,16.59416344,19.36715534,35.03958861,0,19.30607888,0.099688781,93.82395507,83.02553664,4.481862163,14.32536873,0.0335,0.099401703
Belgium,2020,Europe,90.67457273,1.765307071,0.174231256,13.86080896,51.36475927,27.19453327,17.01788894,18.20734434,27.44331138,0,19.42619047,0.098697422,91.01072333,81.72211905,3.6123981,19.99747299,0.0335,0.084824619
Brazil,1990,South/Latin America,193.7657522,1.377371897,0.126286516,104.5932097,140.6778754,94.50051835,15.86749271,57.32,61.121,3.928998136,3.971997819,0.091686578,222.821,215.795,15.374,0,32.724,4.595
